# US 10-Year Real Yield (TIPS) daily data for fundamentals filter
# Format: timestamp,close
# timestamp: UTC date
# close: Real yield percentage (e.g., 2.15 means 2.15%)
#
# Sources for real data:
# - FRED: https://fred.stlouisfed.org/series/DFII10 (10-Year TIPS)
# - TradingView: TIPS or RINF
# - US Treasury: https://www.treasury.gov/resource-center/data-chart-center/
#
# The fundamentals filter uses this to determine yield environment:
# - Real yields trending UP = higher opportunity cost = Gold bearish
# - Real yields trending DOWN = lower opportunity cost = Gold bullish
#
# Gold typically has inverse correlation with real yields
#
# Example data (replace with actual daily data):
timestamp,close
2024-01-02,1.95
2024-01-03,1.98
2024-01-04,2.02
2024-01-05,2.05
2024-01-08,2.08
2024-01-09,2.10
2024-01-10,2.12
2024-01-11,2.08
2024-01-12,2.05
2024-01-16,2.02
2024-01-17,1.98
2024-01-18,1.95
2024-01-19,1.92
2024-01-22,1.88
2024-01-23,1.85
2024-01-24,1.82
2024-01-25,1.80
2024-01-26,1.78
2024-01-29,1.75
2024-01-30,1.72
2024-01-31,1.70
2024-02-01,1.68
2024-02-02,1.72
2024-02-05,1.75
2024-02-06,1.78
2024-02-07,1.82
2024-02-08,1.85
2024-02-09,1.88
2024-02-12,1.92
2024-02-13,1.98
2024-02-14,2.02
2024-02-15,2.05
